id,agent_id,user_id,memory_type,memory_category,content,summary,embedding,source_type,source_id,importance_score,access_count,last_accessed_at,valid_from,valid_until,is_active,consolidated,superseded_by,metadata,created_at,updated_at
4b8d6cb3-4f6b-40e7-a119-d6c7e68766b1,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,fact,The user is a UI/UX designer.,The user is a UI/UX designer.,,conversation,a937077b-4120-4d2e-9bb8-51bb6a4438a0,0.95,1,2026-03-10 07:13:54.650815+00,2026-03-10 06:57:12.794029+00,,t,f,,{},2026-03-10 06:57:12.794029+00,2026-03-10 07:13:54.650815+00
71a085f3-68e1-4731-813e-1288c9447508,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,preference,"The user prefers to use Tailwind CSS but dislikes using arbitrary values (e.g., bg-[#hex]).","The user prefers to use Tailwind CSS but dislikes using arbitrary values (e.g., bg-[#hex]).",,conversation,a937077b-4120-4d2e-9bb8-51bb6a4438a0,0.85,1,2026-03-10 07:13:54.650815+00,2026-03-10 06:57:13.211401+00,,t,f,,{},2026-03-10 06:57:13.211401+00,2026-03-10 07:13:54.650815+00
a47a9d5c-b428-4cf1-b4c1-8ff836b1c714,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,pattern,"The user evaluates AI performance based on consistency, proactivity, and friction in maintaining design systems.","The user evaluates AI performance based on consistency, proactivity, and friction in maintaining design systems.",,conversation,a937077b-4120-4d2e-9bb8-51bb6a4438a0,0.8,1,2026-03-10 07:13:54.650815+00,2026-03-10 06:57:13.606061+00,,t,f,,{},2026-03-10 06:57:13.606061+00,2026-03-10 07:13:54.650815+00
e121b292-c3c3-4dcc-b6ba-50bbd3c0b493,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,summary,"Discussed various prompts to test AI short-term and long-term memory, specifically focusing on brand constraints, negative constraints, and user persona recall.","Discussed various prompts to test AI short-term and long-term memory, specifically focusing on brand constraints, negative constraints, and user persona recall.",,conversation,a937077b-4120-4d2e-9bb8-51bb6a4438a0,0.7,1,2026-03-10 07:13:54.650815+00,2026-03-10 06:57:14.014719+00,,t,f,,{},2026-03-10 06:57:14.014719+00,2026-03-10 07:13:54.650815+00
42135e84-d618-4002-b05a-b130d9675600,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,preference,The user prioritizes accessibility and high contrast (WCAG AAA) when designing for elderly demographics.,The user prioritizes accessibility and high contrast (WCAG AAA) when designing for elderly demographics.,,conversation,a937077b-4120-4d2e-9bb8-51bb6a4438a0,0.75,1,2026-03-10 07:13:54.650815+00,2026-03-10 06:57:14.375441+00,,t,f,,{},2026-03-10 06:57:14.375441+00,2026-03-10 07:13:54.650815+00
1a4fbd6f-8931-4e27-8f46-ea0ba4a543cf,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,preference,User loves animated websites but requires them to be WCAG AAA accessible for elderly demographics.,User loves animated websites but requires them to be WCAG AAA accessible for elderly demographics.,,conversation,e7e21667-3a37-48fc-b357-3e8b8e72ce80,1,0,,2026-03-10 07:14:09.657629+00,,t,f,,{},2026-03-10 07:14:09.657629+00,2026-03-10 07:14:09.657629+00
045e7ce2-add5-42d3-bd55-2db69fbedf5a,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,preference,User prefers using Tailwind CSS for web development and styling.,User prefers using Tailwind CSS for web development and styling.,,conversation,e7e21667-3a37-48fc-b357-3e8b8e72ce80,0.95,1,2026-03-10 07:25:24.722732+00,2026-03-10 07:14:10.074427+00,,t,f,,{},2026-03-10 07:14:10.074427+00,2026-03-10 07:25:24.722732+00
04d94557-1cc9-4bfa-bbb3-4fe1bc1cf68a,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,preference,User likes bold typography and modern design aesthetics.,User likes bold typography and modern design aesthetics.,,conversation,e7e21667-3a37-48fc-b357-3e8b8e72ce80,0.85,1,2026-03-10 07:25:24.722732+00,2026-03-10 07:14:11.687065+00,,t,f,,{},2026-03-10 07:14:11.687065+00,2026-03-10 07:25:24.722732+00
6aa27250-87b5-4ede-b067-bac0480b5c0b,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,pattern,"User prioritizes 'Motion with Purpose,' focusing on feedback-driven micro-interactions rather than purely decorative animation.","User prioritizes 'Motion with Purpose,' focusing on feedback-driven micro-interactions rather than purely decorative animation.",,conversation,e7e21667-3a37-48fc-b357-3e8b8e72ce80,0.9,1,2026-03-10 07:25:24.722732+00,2026-03-10 07:14:12.20355+00,,t,f,,{},2026-03-10 07:14:12.20355+00,2026-03-10 07:25:24.722732+00
c71e86f5-daf9-40a8-b71f-b8a15c5a7bff,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,decision,Agreed to use 'motion-safe' and 'motion-reduce' Tailwind variants to respect OS-level reduced motion settings.,Agreed to use 'motion-safe' and 'motion-reduce' Tailwind variants to respect OS-level reduced motion settings.,,conversation,e7e21667-3a37-48fc-b357-3e8b8e72ce80,0.9,1,2026-03-10 07:25:24.722732+00,2026-03-10 07:14:12.577866+00,,t,f,,{},2026-03-10 07:14:12.577866+00,2026-03-10 07:25:24.722732+00
1abe411d-e6e9-4347-af38-7c8e2537a826,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,summary,"Discussed strategies for accessible animations, including avoiding layout shifts, ensuring high contrast during transitions, and implementing pause controls for auto-playing content.","Discussed strategies for accessible animations, including avoiding layout shifts, ensuring high contrast during transitions, and implementing pause controls for auto-playing content.",,conversation,e7e21667-3a37-48fc-b357-3e8b8e72ce80,0.8,1,2026-03-10 07:25:24.722732+00,2026-03-10 07:14:13.022207+00,,t,f,,{},2026-03-10 07:14:13.022207+00,2026-03-10 07:25:24.722732+00
6f579ff8-8dbc-4ed7-a3da-4c1f3adfa294,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,summary,"The user follows a 'Motion with Purpose' philosophy, prioritizing functional animation over decorative flair in UI/UX design.","The user follows a 'Motion with Purpose' philosophy, prioritizing functional animation over decorative flair in UI/UX design.",,conversation,b5a355c2-a79e-4743-a970-261edd79dc01,0.9,0,,2026-03-10 07:25:35.887731+00,,t,f,,{},2026-03-10 07:25:35.887731+00,2026-03-10 07:25:35.887731+00
35a5492d-a74e-496c-a14b-54c979ab4944,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,preference,User prefers using Tailwind CSS for styling and layout with a focus on utility-first principles.,User prefers using Tailwind CSS for styling and layout with a focus on utility-first principles.,,conversation,b5a355c2-a79e-4743-a970-261edd79dc01,1,0,,2026-03-10 07:25:36.389946+00,,t,f,,{},2026-03-10 07:25:36.389946+00,2026-03-10 07:25:36.389946+00
7262e3bb-29d0-4999-bea2-0a282ffa6e5f,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,preference,User favors a minimalist aesthetic characterized by bold typography and a strong visual hierarchy.,User favors a minimalist aesthetic characterized by bold typography and a strong visual hierarchy.,,conversation,b5a355c2-a79e-4743-a970-261edd79dc01,0.85,0,,2026-03-10 07:25:36.825666+00,,t,f,,{},2026-03-10 07:25:36.825666+00,2026-03-10 07:25:36.825666+00
3ca0cadf-c52b-404a-912f-f67327500c1b,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,pattern,User consistently advocates for a mobile-first approach to responsive design.,User consistently advocates for a mobile-first approach to responsive design.,,conversation,b5a355c2-a79e-4743-a970-261edd79dc01,0.9,0,,2026-03-10 07:25:37.287893+00,,t,f,,{},2026-03-10 07:25:37.287893+00,2026-03-10 07:25:37.287893+00
4895d938-1e72-4a79-8f55-dc46ebbd40fc,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,fact,"User is committed to WCAG 2.1 AA accessibility compliance, specifically regarding reduced motion and layout stability.","User is committed to WCAG 2.1 AA accessibility compliance, specifically regarding reduced motion and layout stability.",,conversation,b5a355c2-a79e-4743-a970-261edd79dc01,0.95,0,,2026-03-10 07:25:37.813166+00,,t,f,,{},2026-03-10 07:25:37.813166+00,2026-03-10 07:25:37.813166+00
08c880e7-3901-460f-a28c-0736a6b6499d,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,preference,User prefers implementing 'motion-safe' and 'motion-reduce' variants to respect OS-level accessibility settings.,User prefers implementing 'motion-safe' and 'motion-reduce' variants to respect OS-level accessibility settings.,,conversation,b5a355c2-a79e-4743-a970-261edd79dc01,0.9,0,,2026-03-10 07:25:38.2451+00,,t,f,,{},2026-03-10 07:25:38.2451+00,2026-03-10 07:25:38.2451+00
73f4bc53-5e2b-4e72-9369-21cdd5732ce4,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,short_term,pattern,User prioritizes minimizing cognitive load by using micro-interactions primarily for functional feedback.,User prioritizes minimizing cognitive load by using micro-interactions primarily for functional feedback.,,conversation,b5a355c2-a79e-4743-a970-261edd79dc01,0.8,0,,2026-03-10 07:25:38.71203+00,,t,f,,{},2026-03-10 07:25:38.71203+00,2026-03-10 07:25:38.71203+00
